"pID","broadvscontent","narrowvsbroad","narrowvscontent"
1,0.24446,0.012251,0.25672
2,0.10474,-0.044737,0.060003
3,0.055755,0.068862,0.12462
4,0.1565,0.056984,0.21349
5,0.16575,0.12304,0.28879
6,0.055571,-0.024221,0.031351
7,0.069183,0.027666,0.096849
8,0.25072,0.045212,0.29593
9,0.18057,0.035596,0.21617
10,0.018839,0.00030677,0.019146
11,0.020322,0.09911,0.11943
12,-0.061643,0.15575,0.094103
13,0.15433,-0.0062945,0.14803
14,0.04333,0.039632,0.082962
15,0.10554,-0.056714,0.048827
16,0.00015816,0.10297,0.10313
17,0.02389,0.077488,0.10138
18,0.17076,-0.078301,0.092458
19,0.07233,0.064567,0.1369
20,0.090191,0.041463,0.13165
21,0.13675,0.070439,0.20719
22,0.062303,0.0038335,0.066137
23,0.014997,0.0061702,0.021167
24,0.15868,0.061255,0.21993
25,-0.015665,0.055093,0.039429
26,0.060715,0.049407,0.11012
27,0.12861,-0.071415,0.057191
28,0.14322,0.011233,0.15445
29,-0.052293,-0.1071,-0.1594
30,0.0014782,0.08226,0.083738
31,0.027351,0.089473,0.11682
32,0.020807,-0.12311,-0.1023
33,0.053188,0.048012,0.1012
34,0.047912,0.029156,0.077068
35,0.13563,-0.083342,0.052292
36,0.21655,-0.23151,-0.014958
37,-0.023147,0.047293,0.024146
38,-0.077779,0.28243,0.20465
39,0.073397,-0.044441,0.028956
40,0.11169,0.082432,0.19412
41,0.10182,0.12037,0.22219
