"pID","broadvscontent","narrowvsbroad","narrowvscontent"
1,0.21852,0.0038557,0.22237
2,0.089574,-0.038796,0.050778
3,0.038726,0.066539,0.10527
4,0.14502,0.049068,0.19409
5,0.1444,0.12171,0.26611
6,0.044236,-0.025931,0.018304
7,0.060496,0.021323,0.081819
8,0.21252,0.036823,0.24935
9,0.16441,0.029874,0.19428
10,-0.0080455,-0.0043897,-0.012435
11,0.011144,0.090239,0.10138
12,-0.073796,0.15309,0.079299
13,0.14387,-0.010177,0.13369
14,0.031752,0.029525,0.061278
15,0.093508,-0.060562,0.032946
16,-0.0037601,0.089277,0.085517
17,0.014636,0.065716,0.080352
18,0.1587,-0.084794,0.073908
19,0.065992,0.047058,0.11305
20,0.068869,0.03703,0.1059
21,0.12175,0.058972,0.18072
22,0.057945,0.0099298,0.067875
23,0.0017848,0.0011608,0.0029457
24,0.14993,0.054734,0.20466
25,-0.020617,0.045954,0.025337
26,0.04439,0.033342,0.077732
27,0.11575,-0.07669,0.039062
28,0.12509,0.0071552,0.13225
29,-0.057706,-0.10835,-0.16605
30,-0.010862,0.078944,0.068083
31,0.02556,0.080056,0.10562
32,0.00036558,-0.12813,-0.12777
33,0.043345,0.033496,0.076841
34,0.035162,0.025766,0.060928
35,0.12537,-0.094046,0.03132
36,0.19982,-0.22888,-0.029063
37,-0.039004,0.050009,0.011005
38,-0.095039,0.27973,0.18469
39,0.059014,-0.039033,0.019981
40,0.095352,0.080182,0.17553
41,0.095958,0.11511,0.21106
