"pID","broadvscontent","narrowvsbroad","narrowvscontent"
1,0.33844,0.04937,0.38781
2,0.19519,-0.12087,0.074318
3,0.099591,0.088572,0.18816
4,0.18879,0.10887,0.29767
5,0.2521,0.077965,0.33007
6,0.071477,-0.020943,0.050534
7,0.13036,0.068814,0.19917
8,0.39055,0.043858,0.43441
9,0.22618,0.054543,0.28072
10,0.17752,0.012785,0.1903
11,0.0415,0.13109,0.17259
12,0.030305,0.16969,0.2
13,0.22165,-0.039512,0.18213
14,0.097998,0.026218,0.12422
15,0.13463,-0.014163,0.12047
16,0.032302,0.15025,0.18255
17,0.085058,0.096103,0.18116
18,0.23464,-0.042506,0.19213
19,0.13576,0.10466,0.24042
20,0.18577,0.0060157,0.19178
21,0.21395,0.11055,0.3245
22,0.012812,0.046642,0.059454
23,0.10279,0.026794,0.12958
24,0.21465,0.064536,0.27918
25,0.041567,0.049564,0.091131
26,0.10237,0.073747,0.17612
27,0.16977,-0.058313,0.11146
28,0.18085,0.0041222,0.18497
29,0.016102,-0.10624,-0.090134
30,0.047296,0.13104,0.17834
31,0.053346,0.10172,0.15507
32,0.10891,-0.11603,-0.0071166
33,0.1554,0.090974,0.24637
34,0.1131,0.046076,0.15918
35,0.16448,-0.030009,0.13447
36,0.26301,-0.25921,0.0037991
37,0.070421,0.045532,0.11595
38,0.062437,0.29789,0.36033
39,0.18383,-0.069566,0.11426
40,0.17222,0.11569,0.28792
41,0.10319,0.15727,0.26046
