art_id,teaser_wc,total_wc,pres_time
1,17,23,8
2,18,23,8
3,28,34,10
4,16,23,8
5,24,30,10
6,20,25,8
7,27,32,12
8,24,30,10
9,25,33,10
10,20,30,10
11,16,24,8
12,24,31,12
13,27,33,12
14,20,27,10
15,20,27,10
16,24,31,10
17,25,31,12
18,19,25,10
19,24,29,10
20,26,33,10
21,24,34,12
22,20,26,8
23,26,34,12
24,22,26,10
25,19,29,10
26,25,34,10
27,15,21,8
28,22,34,12
29,27,34,12
30,20,25,10
31,18,25,8
32,25,31,12
33,17,22,8
34,27,35,12
35,25,33,12
36,20,27,10
37,22,29,10
38,21,31,10
39,26,31,10
40,27,32,10
41,30,35,12
42,26,34,12
43,20,28,10
44,24,30,12
45,24,32,10
46,18,26,8
47,23,30,10
48,25,31,12
49,22,26,8
50,20,28,10
51,14,21,8
52,27,34,10
53,24,29,10
54,22,31,10
55,27,35,12
56,23,30,10
57,25,29,10
58,30,33,10
59,21,27,8
60,21,27,10
61,18,26,10
62,19,22,8
63,17,23,8
64,22,28,8
65,21,28,10
66,27,33,12
67,21,26,10
68,25,30,10
69,28,33,12
70,25,32,12
71,22,28,10
72,29,33,10
73,27,33,12
74,19,32,12
75,27,35,12
76,27,34,12
77,19,25,10
78,20,26,10
79,28,35,12
80,22,29,10
