"pID","age","gender","ego_degree"
"1","18","1","500"
"2","23","2","338"
"3","22","1","155"
"4","23","2","421"
"5","18","2","844"
"6","19","2","858"
"7","19","1","1004"
"8","19","1","570"
"9","19","2","521"
"10","19","2","892"
"11","20","2","663"
"12","22","1","291"
"13","22","2","280"
"14","19","2","1227"
"15","21","2","328"
"16","18","2","894"
"17","18","1","221"
"18","23","2","436"
"19","20","2","591"
"20","24","1","449"
"21","19","2","962"
"22","18","2","770"
"23","24","1","464"
"24","19","2","493"
"25","21","2","977"
"26","24","2","211"
"27","19","1","746"
"28","19","2","79"
"29","23","2","1119"
"30","22","2","442"
"31","19","2","662"
"32","21","1","242"
"33","18","2","1097"
"34","19","2","413"
"35","23","2","844"
"36","19","2","256"
"37","19","2","803"
"38","24","1","259"
"39","23","2","910"
"40","23","2","426"
"41","21","1","305"
